Date : 2023-04-19 19:19:04
Directory : /Users/meregodz/Documents/ITMOlabs/OPD/OPD_web
Total : 125 files,  7124 codes, 542 comments, 1068 blanks, all 8734 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| PHP        |         74 |      2,527 |         70 |        352 |      2,949 |
| JavaScript |         32 |      2,102 |        338 |        289 |      2,729 |
| CSS        |          8 |      1,855 |         58 |        303 |      2,216 |
| HTML       |          7 |        339 |          0 |         84 |        423 |
| SQL        |          2 |        292 |         76 |         40 |        408 |
| Markdown   |          2 |          9 |          0 |          0 |          9 |
+------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                     | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                        |        125 |      7,124 |        542 |      1,068 |      8,734 |
| . (Files)                                                                                |         48 |      2,476 |          0 |        233 |      2,709 |
| __MACOSX                                                                                 |         16 |         18 |          0 |          0 |         18 |
| __MACOSX (Files)                                                                         |          9 |          9 |          0 |          0 |          9 |
| __MACOSX/css                                                                             |          2 |          2 |          0 |          0 |          2 |
| __MACOSX/db                                                                              |          1 |          2 |          0 |          0 |          2 |
| __MACOSX/font                                                                            |          1 |          1 |          0 |          0 |          1 |
| __MACOSX/js                                                                              |          2 |          3 |          0 |          0 |          3 |
| __MACOSX/resources                                                                       |          1 |          1 |          0 |          0 |          1 |
| backend                                                                                  |         25 |        389 |         70 |        203 |        662 |
| css                                                                                      |          4 |      1,851 |         55 |        303 |      2,209 |
| db                                                                                       |          1 |        290 |         76 |         40 |        406 |
| js                                                                                       |         30 |      2,099 |        338 |        289 |      2,726 |
| resources                                                                                |          1 |          1 |          3 |          0 |          4 |
+------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                 | language   | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| /Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/Admin-Lab1-add_prof.php                   | PHP        |         52 |          0 |          5 |         57 |
| /Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/Admin-Lab1-home.php                       | PHP        |         58 |          0 |          4 |         62 |
| /Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/Admin-Lab1-prof_page.php                  | PHP        |         70 |          0 |          7 |         77 |
| /Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/Admin-Lab2-normalize_results.php          | PHP        |         37 |          0 |          1 |         38 |
| /Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/Admin-Lab2-resp_results.php               | PHP        |         74 |          0 |          1 |         75 |
| /Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/Admin-Lab3-normalize_results.php          | PHP        |         37 |          0 |          1 |         38 |
| /Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/Admin-Lab3-resp_results.php               | PHP        |         74 |          0 |          1 |         75 |
| /Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/Admin-Lab3-resp_tests.php                 | PHP        |         38 |          0 |          2 |         40 |
| /Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/Admin-Lab3-results.php                    | PHP        |         37 |          0 |          4 |         41 |
| /Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/Admin-error.php                           | PHP        |         28 |          0 |          2 |         30 |
| /Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/Admin-menu.php                            | PHP        |         50 |          0 |          0 |         50 |
| /Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/Admin-results-charts.php                  | PHP        |         32 |          0 |          3 |         35 |
| /Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/Admin-results.php                         | PHP        |         29 |          0 |          4 |         33 |
| /Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/Admin-test-chart.php                      | PHP        |         40 |          0 |          2 |         42 |
| /Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/Admin-test-result.php                     | PHP        |         57 |          0 |          1 |         58 |
| /Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/Admin-tests.php                           | PHP        |         34 |          0 |          2 |         36 |
| /Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/Lab1-home.php                             | PHP        |         56 |          0 |          4 |         60 |
| /Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/Lab2-color_test.php                       | PHP        |         51 |          0 |          8 |         59 |
| /Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/Lab2-expert_rec.php                       | PHP        |         22 |          0 |          5 |         27 |
| /Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/Lab2-hard_sound.php                       | PHP        |         48 |          0 |          7 |         55 |
| /Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/Lab2-home.php                             | PHP        |         91 |          0 |          3 |         94 |
| /Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/Lab2-reaction_to_light.php                | PHP        |         63 |          0 |          6 |         69 |
| /Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/Lab2-results.php                          | PHP        |         32 |          0 |          3 |         35 |
| /Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/Lab2-simple_sound.php                     | PHP        |         48 |          0 |          6 |         54 |
| /Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/Lab2-test_result.php                      | PHP        |         41 |          0 |          0 |         41 |
| /Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/Lab2-tests.php                            | PHP        |         55 |          0 |          3 |         58 |
| /Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/Lab2-visual_test.php                      | PHP        |         50 |          0 |          6 |         56 |
| /Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/Lab3-hard_circle.php                      | PHP        |         72 |          0 |          5 |         77 |
| /Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/Lab3-home.php                             | PHP        |         81 |          0 |          3 |         84 |
| /Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/Lab3-results.php                          | PHP        |         31 |          0 |          2 |         33 |
| /Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/Lab3-simple_circle.php                    | PHP        |         45 |          0 |          6 |         51 |
| /Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/Lab3-tests.php                            | PHP        |         37 |          0 |          3 |         40 |
| /Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/README.md                                 | Markdown   |          8 |          0 |          0 |          8 |
| /Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/__MACOSX/._README.md                      | Markdown   |          1 |          0 |          0 |          1 |
| /Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/__MACOSX/._addprof.php                    | PHP        |          1 |          0 |          0 |          1 |
| /Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/__MACOSX/._admin-prof-page.php            | PHP        |          1 |          0 |          0 |          1 |
| /Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/__MACOSX/._admin.php                      | PHP        |          1 |          0 |          0 |          1 |
| /Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/__MACOSX/._expert_prof.php                | PHP        |          1 |          0 |          0 |          1 |
| /Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/__MACOSX/._index.php                      | PHP        |          1 |          0 |          0 |          1 |
| /Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/__MACOSX/._login.html                     | HTML       |          1 |          0 |          0 |          1 |
